한자,후리가나,의미,JLPT,품사,태그
会う,あう,만나다,N5,동사,일상
青い,あおい,파랗다,N5,형용사,색상
赤い,あかい,빨갛다,N5,형용사,색상
明るい,あかるい,밝다,N5,형용사,상태
開ける,あける,열다,N5,동사,동작
上げる,あげる,주다/올리다,N5,동사,동작
朝,あさ,아침,N5,명사,시간
足,あし,발/다리,N5,명사,신체
明日,あした,내일,N5,명사,시간
遊ぶ,あそぶ,놀다,N5,동사,동작
暖かい,あたたかい,따뜻하다,N5,형용사,날씨
新しい,あたらしい,새롭다,N5,형용사,상태
暑い,あつい,덥다,N5,형용사,날씨
厚い,あつい,두껍다,N5,형용사,상태
後,あと,뒤/나중,N5,명사,위치
行く,いく,가다,N5,동사,이동
今,いま,지금,N5,명사,시간
美味しい,おいしい,맛있다,N5,형용사,음식
大きい,おおきい,크다,N5,형용사,상태
書く,かく,쓰다,N5,동사,동작
言う,いう,말하다,N5,동사,소통
家,いえ,집,N5,명사,장소
池,いけ,연못,N5,명사,장소
医者,いしゃ,의사,N5,명사,직업
椅子,いす,의자,N5,명사,가구
忙しい,いそがしい,바쁘다,N5,형용사,상태
痛い,いたい,아프다,N5,형용사,신체
一番,いちばん,첫째/가장,N5,부사,숫자
五つ,いつつ,다섯 개,N5,명사,숫자
犬,いぬ,개,N5,명사,동물
入り口,いりぐち,입구,N5,명사,장소
入れる,いれる,넣다,N5,동사,동작
歌う,うたう,노래하다,N5,동사,예술
生まれる,うまれる,태어나다,N5,동사,인생
海,うみ,바다,N5,명사,자연
売る,うる,팔다,N5,동사,경제
上着,うわぎ,겉옷,N5,명사,의류
駅,えき,역,N5,명사,교통
鉛筆,えんぴつ,연필,N5,명사,학용품
起きる,おきる,일어나다,N5,동사,일상
置く,おく,두다/놓다,N5,동사,동작
奥さん,おくさん,(남의) 부인,N5,명사,가족
お酒,おさけ,술,N5,명사,음식
お皿,おさら,접시,N5,명사,생활
おじいさん,おじいさん,할아버지,N5,명사,가족
教える,おしえる,가르치다,N5,동사,교육
おじさん,おじさん,아저씨/삼촌,N5,명사,가족
押す,おす,밀다/누르다,N5,동사,동작
遅い,おそい,느리다/늦다,N5,형용사,상태
お茶,おちゃ,차,N5,명사,음식
お手洗い,おてあらい,화장실,N5,명사,장소
お父さん,おとうさん,아버지,N5,명사,가족
弟,おとうと,남동생,N5,명사,가족
男,おとこ,남자,N5,명사,사람
男の子,おとこのこ,남자아이,N5,명사,사람
一昨日,おととい,그저께,N5,명사,시간
一昨年,おととし,재작년,N5,명사,시간
大人,おとな,어른,N5,명사,사람
お腹,おなか,배,N5,명사,신체
同じ,おなじ,같다,N5,형용사,상태
お兄さん,おにいさん,형/오빠,N5,명사,가족
お姉さん,おねえさん,누나/언니,N5,명사,가족
おばあさん,おばあさん,할머니,N5,명사,가족
おばさん,おばさん,아주머니/고모,N5,명사,가족
お弁当,おべんとう,도시락,N5,명사,음식
覚える,おぼえる,외우다/기억하다,N5,동사,정신
重い,おもい,무겁다,N5,형용사,상태
泳ぐ,およぐ,헤엄치다,N5,동사,운동
降りる,おりる,내리다,N5,동사,이동
終わる,おわる,끝나다,N5,동사,상태
音楽,おんがく,음악,N5,명사,예술
女,おんな,여자,N5,명사,사람
女の子,おんなのこ,여자아이,N5,명사,사람
外国,がいこく,외국,N5,명사,장소
会社,かいしゃ,회사,N5,명사,직업
階段,かいだん,계단,N5,명사,시설
買い物,かいもの,쇼핑,N5,명사,일상
買う,かう,사다,N5,동사,경제
返す,かえす,돌려주다,N5,동사,동작
帰る,かえる,돌아가다,N5,동사,이동
顔,かお,얼굴,N5,명사,신체
鍵,かぎ,열쇠,N5,명사,생활
傘,かさ,우산,N5,명사,생활
貸す,かす,빌려주다,N5,동사,동작
風,かぜ,바람,N5,명사,자연
家族,かぞく,가족,N5,명사,사람
片仮名,かたかな,가타카나,N5,명사,언어
学校,がっこう,학교,N5,명사,교육
角,かど,모퉁이,N5,명사,장소
鞄,かばん,가방,N5,명사,생활
花瓶,かびん,꽃병,N5,명사,인테리어
紙,かみ,종이,N5,명사,생활
カメラ,かめら,카메라,N5,명사,가전
火曜日,かようび,화요일,N5,명사,시간
辛い,からい,맵다,N5,형용사,음식
