pattern,meaning,connection,jlpt level(only number),example1(japanes),example1(kroean),example1(english),example2(japanes),example2(kroean),example2(english),conversation_level(중요도 별 갯수),is_core
いいね,좋네,会話[かいわ]リアクション,4.0,それ、いいね。,그거 좋네.,That's nice.,いいね、やってみよう。,"좋다, 해보자.","Sounds good, let's try.",5.0,False
じゃあ,그럼 (전환/정리),会話[かいわ]つなぎ,4.0,じゃあ、また連絡[れんらく]する。,그럼 다시 연락할게.,"Alright then, I'll message you.",じゃあ、それで行[い]こう。,그럼 그걸로 하자.,"Okay, let's go with that.",5.0,False
そういうことか,"아, 그런 거구나",会話[かいわ]リアクション,4.0,ああ、そういうことか。,"아, 그런 거구나.","Ah, I see.",そういうことか。納得[なっとく]した。,그런 거였구나. 납득했어.,That makes sense now.,4.0,False
そうなんだ,아 그렇구나 (리액션),会話[かいわ]リアクション,4.0,そうなんだ。知[し]らなかった。,아 그렇구나. 몰랐어.,"Oh, really. I didn't know.",そうなんだ。じゃあ、また今度[こんど]ね。,그렇구나. 그럼 다음에 보자.,"I see. Then, maybe next time.",5.0,False
そっか,아 그렇구나 (가벼움),会話[かいわ]リアクション,4.0,そっか、分[わ]かった。,"아 그렇구나, 알겠어.","I see, okay.",そっか。じゃあ後[あと]で。,아 그렇구나. 그럼 나중에.,I see. Then later.,4.0,False
それって？,그게 뭐야? / 그건?,会話[かいわ]で聞[き]き返[かえ]し,4.0,それって何[なに]？,그게 뭐야?,What's that?,それって本当[ほんとう]？,그거 진짜야?,Is that true?,5.0,True
それで？,그래서?,会話[かいわ]つなぎ,4.0,それで？続[つづ]きは？,그래서? 다음은?,And then? What happened next?,それで、どうしたの？,"그래서, 어떻게 됐어?","So, what did you do?",5.0,False
つまり,"즉, 요약하면",文[ぶん]まとめ,4.0,つまり、今[いま]は無理[むり]ってこと？,"즉, 지금은 무리라는 거야?","So basically, it's not possible now?",つまり、来週[らいしゅう]にする。,"즉, 다음 주로 하자.","In short, let's do it next week.",4.0,False
ということは,~라는 건… (조금 더 정중),文[ぶん] + ということは,4.0,ということは、明日[あした]も忙[いそが]しいんだね。,그럼 내일도 바쁜 거네.,So that means you're busy tomorrow too.,ということは、私[わたし]がやればいい？,그럼 내가 하면 돼?,"So, should I do it?",4.0,False
どういう意味[いみ]？,무슨 뜻이야?,会話[かいわ]で確認[かくにん],4.0,どういう意味[いみ]？もう一回[いっかい]言[い]って。,무슨 뜻이야? 한 번 더 말해줘.,What do you mean? Say it again.,それ、どういう意味[いみ]で言[い]ったの？,그거 무슨 뜻으로 말한 거야?,What did you mean by that?,5.0,True
